school_id,name,careers_link,rows_now,verdict,evidence
85,University of California-Davis,https://recruit.ucdavis.edu/apply?_gl=1*1802h74*_gcl_au*MTUyNDgyMzMzMy4xNzg3ODc1NDE4*_ga*MTE2MzE3NjkzLjE3ODc4NzU0MTg.*_ga_2N9JP0W2PC*czE3ODc4NzU0MTgkbzEkZzAkdDE3ODc4NzU0MjAkajU4JGwwJGgw,0,inline-listing,links=0 inline=0 roles=114 paging=n iframes=0 text=45571
93,University of California-Irvine,https://recruit.ap.uci.edu/apply,0,inline-listing,links=0 inline=0 roles=155 paging=n iframes=0 text=60608
95,University of California-San Diego,https://apol-recruit.ucsd.edu/apply,0,inline-listing,links=0 inline=0 roles=251 paging=n iframes=0 text=51797
103,Occidental College,https://www.oxy.edu/working-oxy/faculty-positions,2,inline-listing,links=2 inline=0 roles=6 paging=n iframes=0 text=3969
104,Pacific States University,https://psuca.edu/jobs-opportunities/,2,unclear,links=4 inline=1 roles=9 paging=n iframes=0 text=10456
105,University of California-Los Angeles,https://recruit.apo.ucla.edu/apply,0,inline-listing,links=0 inline=0 roles=159 paging=n iframes=0 text=49889
108,University of California-Merced,https://aprecruit.ucmerced.edu/apply,0,inline-listing,links=0 inline=0 roles=57 paging=n iframes=0 text=28352
109,Saint Mary's College of California,https://www.stmarys-ca.edu/offices-services/academic-affairs/faculty-openings,2,unclear,links=4 inline=1 roles=2 paging=n iframes=0 text=5904
114,Chapman University,https://apply.interfolio.com/44328/positions,1,inline-listing,links=1 inline=0 roles=8 paging=y iframes=0 text=4311
117,Simpson University,https://secure.onehcm.com/ta/Simpson.careers?CareersSearch&InFrameset=1&HostedBy=simpsonu.edu,1,inline-listing,links=1 inline=8 roles=34 paging=n iframes=0 text=6782
121,University of California-Riverside,https://aprecruit.ucr.edu/apply,0,inline-listing,links=0 inline=0 roles=41 paging=n iframes=0 text=18742
124,University of the West,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=31cd0b73-92c3-4ed2-84f8-5a6de61f8f2c&ccId=19000101_000001&lang=en_US&source=CC2&selectedMenuKey=CurrentOpenings,1,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=1675
138,Golden Gate University,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=1A449B35167BB40706C055A54E4FB0DA,0,blocked,links=10 inline=0 roles=23 paging=n iframes=0 text=3439 wall/challenge
145,Dominican University of California,https://www.paycomonline.net/v4/ats/web.php/portal/379D25BEB04D4E67539308A7BD902D82/career-page,0,blocked,links=7 inline=0 roles=10 paging=n iframes=0 text=4344 wall/challenge
146,University of California-Santa Barbara,http://recruit.ap.ucsb.edu/apply,0,inline-listing,links=0 inline=0 roles=45 paging=n iframes=0 text=17094
147,Westmont College,https://www.westmont.edu/office-provost/open-positions,1,unclear,links=1 inline=0 roles=1 paging=n iframes=0 text=4348
150,University of California-Santa Cruz,https://recruit.ucsc.edu/apply,0,inline-listing,links=0 inline=0 roles=86 paging=n iframes=0 text=25711
154,Humphreys University-Stockton and Modesto Campuses,https://www.humphreys.edu/career-opportunities/,1,unclear,links=2 inline=0 roles=0 paging=n iframes=0 text=4376
159,Whittier College,https://www.whittier.edu/humanresources/faculty,1,inline-listing,links=2 inline=3 roles=11 paging=y iframes=0 text=8908
160,Adams State University,https://adams.wd1.myworkdayjobs.com/ASU?jobFamilyGroup=17a14ea6887710013425d08f0be90001,3,inline-listing,links=3 inline=6 roles=4 paging=n iframes=0 text=1964
161,Colorado State University Global,https://faculty-csuglobal.icims.com/,1,looks-ok-now,links=9 inline=0 roles=0 paging=n iframes=1 text=7395
165,University of Colorado Colorado Springs,https://cu.taleo.net/careersection/2/moresearch.ftl?lang=en&location=6300103016&portal=101430233&radius=1&radiusType=K&searchExpanded=true,0,paginated,links=7 inline=0 roles=0 paging=y iframes=1 text=4805
168,University of Colorado Denver/Anschutz Medical Campus,https://cu.taleo.net/careersection/2/moresearch.ftl?lang=en,0,paginated,links=7 inline=0 roles=0 paging=y iframes=1 text=4805
175,Western Colorado University,https://western.wd1.myworkdayjobs.com/WESTERN?locations=f0acdfc60ce81008f9018ce54da70000&jobFamilyGroup=f0acdfc60ce81008d439787fbb740000,0,unclear,links=1 inline=0 roles=0 paging=n iframes=0 text=1257
178,Colorado State University Pueblo,https://csusystem.wd12.myworkdayjobs.com/en-US/pueblo_careers?locations=c42207b011c11000e4a22ee1cf1e0000&jobFamilyGroup=c42207b011c11000d2dd549d70320000,1,unclear,links=1 inline=2 roles=1 paging=n iframes=0 text=1049
179,University of Bridgeport,https://www.paycomonline.net/v4/ats/web.php/portal/A1640D81A59AFDAFC5501F5B06EF1B08/career-page,0,blocked,links=10 inline=0 roles=12 paging=n iframes=0 text=3407 wall/challenge
182,Sacred Heart University,https://jobs.dayforcehcm.com/shu/CANDIDATEPORTAL,2,looks-ok-now,links=27 inline=0 roles=79 paging=n iframes=0 text=60232
183,University of Connecticut-Avery Point,https://jobs.hr.uconn.edu/cw/en-us/filter/?search-keyword=&job-mail-subscribe-privacy=agree,0,looks-ok-now,links=55 inline=2 roles=49 paging=y iframes=0 text=77685
188,Charter Oak State College,https://www.charteroak.edu/aboutus/employment.php,2,unclear,links=2 inline=2 roles=2 paging=n iframes=0 text=5641
193,Mitchell College,https://mitchell.edu/careers/,3,unclear,links=4 inline=0 roles=0 paging=n iframes=0 text=5288
195,University of Connecticut,https://jobs.uconn.edu/,3,looks-ok-now,links=9 inline=2 roles=2 paging=n iframes=0 text=14566
199,University of Saint Joseph,https://www.usj.edu/academics/health-care-careers/,0,blocked,links=0 inline=0 roles=0 paging=n iframes=0 text=105 wall/challenge
200,University of New Haven,https://www.newhaven.edu:443/about/employment/job-opportunities/index.php,3,iframe-listing,links=3 inline=1 roles=2 paging=n iframes=1 text=4508
201,Eastern Connecticut State University,https://easternctstateuniversity.applytojob.com/apply/Zz4qJq9Kac/Assistant-Professor-Of-Nursing-Tenure-Track,2,unclear,links=6 inline=1 roles=11 paging=n iframes=0 text=7528
202,American University,https://www.american.edu/hr/,3,unclear,links=7 inline=2 roles=1 paging=n iframes=0 text=6590
203,Gallaudet University,https://gallaudet.edu/academic-career-success/,1,unclear,links=6 inline=2 roles=6 paging=n iframes=0 text=9528
204,George Washington University,https://careers.gwu.edu/,1,unclear,links=5 inline=0 roles=0 paging=n iframes=0 text=3363
214,University of Delaware,https://www.udel.edu/apply/career-outcomes/,3,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=11146
215,Goldey-Beacom College,https://www.paycomonline.net/v4/ats/web.php/portal/019DF7F6E271614BAB2785B88C6A379F/career-page,0,blocked,links=2 inline=0 roles=2 paging=n iframes=0 text=2160 wall/challenge
217,Ave Maria University,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=70cb71c1-96f8-4956-8cce-ce625b0b2943&ccId=19000101_000001&type=JS&lang=en_US,1,inline-listing,links=0 inline=0 roles=12 paging=n iframes=0 text=2977
219,Everglades University,https://www.evergladesuniversity.edu/employment-opportunities/,0,blocked,links=0 inline=0 roles=0 paging=n iframes=0 text=105 wall/challenge
221,Lynn University,https://www.lynn.edu/employment,1,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=4135
228,Nova Southeastern University,https://www.nova.edu/resources/employment.html,2,unclear,links=4 inline=0 roles=0 paging=n iframes=0 text=6937
235,Jacksonville University,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77bf9053-07ed-47ba-b601-d78b61854199&ccId=9200563802212_2&lang=en_US,1,wrong-url,links=0 inline=0 roles=5 paging=n iframes=0 text=3629
237,Warner University,https://warner.edu/offices/human-resources/careers/,2,unclear,links=2 inline=0 roles=0 paging=n iframes=0 text=2640
238,Florida Southern College,http://www.guestservices.com/our-people/careers/,2,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=3190
240,University of Fort Lauderdale,https://uftlathletics.com/sports/2021/6/23/recruiting-questionnaire.aspx,0,iframe-listing,links=0 inline=0 roles=1 paging=n iframes=3 text=1945
241,Beacon College,https://www.beaconcollege.edu/career-opportunities/,2,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=10561
244,Albizu University-Miami,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=89df2234-abda-481d-9d9f-d75161691110&ccId=19000101_000001&type=JS&lang=en_US,1,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=2001
246,Barry University,https://www.barry.edu/en/human-resources/,2,unclear,links=2 inline=0 roles=0 paging=n iframes=0 text=18529
249,Trinity International University-Florida,https://www.tiu.edu/human-resources/,1,unclear,links=1 inline=0 roles=0 paging=n iframes=0 text=2582
251,St. Thomas University,https://www.stu.edu/jobs,0,blocked,links=10 inline=0 roles=13 paging=n iframes=0 text=3144 wall/challenge
253,Polytechnic University of Puerto Rico-Orlando,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=5388a0c5-18fe-449e-b500-098740269275&ccId=19000101_000001&type=JS&lang=en_US,1,no-listing-found,links=0 inline=0 roles=1 paging=n iframes=0 text=2629
257,Flagler College,https://fa-ewbi-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,0,looks-ok-now,links=8 inline=0 roles=0 paging=n iframes=0 text=855
261,Florida State University,https://hr.fsu.edu/working-fsu/prospective-employees/faculty-careers,3,unclear,links=5 inline=0 roles=0 paging=n iframes=0 text=4669
267,Trinity College of Florida,https://www.trinitycollege.edu/gainful-employment/,1,unclear,links=1 inline=0 roles=1 paging=n iframes=0 text=3376
271,Georgia Southwestern State University,https://www.gsw.edu/human-resources/careers,1,unclear,links=2 inline=2 roles=3 paging=n iframes=0 text=7441
277,Georgia State University,https://gsu.taleo.net/,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=650
279,Oglethorpe University,https://oglethorpe.edu/about/offices-departments/human-resources/jobs/,2,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=4678
282,Augusta University,https://www.augusta.edu/hr/jobs/university/index.php,3,looks-ok-now,links=10 inline=0 roles=0 paging=n iframes=1 text=8587
284,College of Coastal Georgia,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?FOCUS=Applicant&SiteId=63000,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=2809
285,University of West Georgia,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?FOCUS=Applicant&SiteId=54000,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=2849
288,Columbus State University,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?FOCUS=Applicant&SiteId=30000,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=2846
289,University of North Georgia,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?FOCUS=Applicant&SiteId=53000,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=2854
291,Agnes Scott College,https://www.agnesscott.edu/careers/faculty-openings/index.html,2,unclear,links=2 inline=0 roles=0 paging=n iframes=0 text=1512
293,Piedmont University,https://www.piedmont.edu/employment/,2,blocked,links=2 inline=0 roles=0 paging=n iframes=0 text=4564 wall/challenge
296,Brenau University,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=3f4d8b79-e717-4293-ae26-578741f6ef88&ccId=19000101_000001&lang=en_US,1,unclear,links=1 inline=1 roles=2 paging=n iframes=0 text=3636
298,LaGrange College,https://lagrangecollege.applicantstack.com/x/openings,0,no-listing-found,links=0 inline=0 roles=3 paging=n iframes=0 text=921
299,Georgia Gwinnett College,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?FOCUS=Applicant&SiteId=40000&,1,unclear,links=1 inline=0 roles=0 paging=n iframes=0 text=296
301,Mercer University,https://hr.mercer.edu/prospective-employees/career-opportunities/,2,unclear,links=4 inline=0 roles=0 paging=n iframes=0 text=6390
302,Middle Georgia State University,https://www.mga.edu/human-resources/jobs/index.php,3,unclear,links=4 inline=0 roles=0 paging=n iframes=0 text=3299
303,Wesleyan College,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=acafb953-757f-4fc8-b0ee-c3d3b317c413&ccId=19000101_000001&lang=en_US,1,wrong-url,links=0 inline=0 roles=2 paging=n iframes=0 text=3545
304,Life University,https://life-csm.symplicity.com/employers/?signin_tab=0,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=154
305,Georgia College & State University,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?FOCUS=Applicant&SiteId=36000,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=2842
306,Clayton  State University,https://www.clayton.edu/human-resources/employment-opportunities,3,unclear,links=4 inline=1 roles=3 paging=n iframes=0 text=5908
312,Georgia Southern University,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?FOCUS=Applicant&SiteId=39000,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=2888
313,Thomas University,https://www.thomasu.edu/about/employment/,3,inline-listing,links=3 inline=0 roles=10 paging=n iframes=0 text=8111
314,Abraham Baldwin Agricultural College,https://www.abac.edu/about/administration/human-resources.html,1,unclear,links=2 inline=2 roles=1 paging=n iframes=0 text=11416
317,Reinhardt University,https://www.reinhardt.edu/careers/,0,blocked,links=0 inline=0 roles=0 paging=n iframes=0 text=388 wall/challenge
322,Chaminade University of Honolulu,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=052b3ffb-78d8-40ac-bd43-f6ee902354e2&ccId=2543893806_3653&lang=en_US,1,inline-listing,links=0 inline=0 roles=17 paging=n iframes=0 text=3033
331,Coe College,https://www.coe.edu/why-coe/discover-coe/human-resources/careers,3,unclear,links=4 inline=0 roles=0 paging=n iframes=0 text=4761
332,Mount Mercy University,https://www.mtmercy.edu/careers/index.php,1,unclear,links=4 inline=0 roles=0 paging=n iframes=0 text=3913
333,Saint Ambrose University,https://sau.edu/about-sau/employment/,1,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=12565
334,Luther College,https://www.luther.edu/offices/hr/careers?utm_source=website&utm_medium=footer&utm_campaign=marketing&utm_content=careers,1,unclear,links=3 inline=0 roles=1 paging=n iframes=0 text=4796
336,Grand View University,https://www.grandview.edu/about/directory/careers-at-gv,1,unclear,links=5 inline=0 roles=2 paging=n iframes=0 text=5912
339,University of Dubuque,https://www.dbq.edu/AboutUD/Employment/Jobs/,2,inline-listing,links=3 inline=22 roles=42 paging=n iframes=0 text=119018
340,Maharishi International University,https://services.miu.edu/human-resources/faculty-positions-available/,0,inline-listing,links=0 inline=6 roles=5 paging=n iframes=0 text=2824
341,Upper Iowa University,https://my.uiu.edu/ICS/Employment_Opportunities.jnz,1,inline-listing,links=1 inline=0 roles=6 paging=n iframes=0 text=3902
343,Grinnell College,https://apply.interfolio.com/11893/positions,1,inline-listing,links=1 inline=0 roles=6 paging=y iframes=0 text=3917
344,Simpson College,https://apply.interfolio.com/191426,0,unclear,links=1 inline=0 roles=1 paging=n iframes=0 text=10893
346,Graceland University-Lamoni,https://sfp.ocs.oraclecloud.com/graceland/portal/saml),0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=2079
348,Cornell College,https://www.cornellcollege.edu/human-resources/employment/,3,blocked,page could not be fetched
350,William Penn University,https://www.wmpenn.edu/adjunct-instructor-in-english-adjunct-faculty-position/,1,inline-listing,links=1 inline=0 roles=12 paging=n iframes=0 text=3285
352,Dordt University,https://ibmxjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/requisitions?lastSelectedFacet=CATEGORIES&selectedCategoriesFacet=300000008610535,0,unclear,links=1 inline=0 roles=0 paging=n iframes=0 text=1153
353,Briar Cliff University,https://Briarcliff.elluciancrmrecruit.com/Apply/Account/ProspectInquiry?f=9b05884a-c1c6-4c53-a445-22ac49ba3594&o=538fedc1-2f8d-4f30-89b1-d13415d0429c,0,blocked,page could not be fetched
354,Morningside University,https://www.morningside.edu/about/employment/adjunct-instructors-rosen-school-of-business,1,inline-listing,links=2 inline=2 roles=14 paging=n iframes=0 text=14526
356,Wartburg College,https://www.wartburg.edu/carson-research-opportunities-focused-my-career-goals/,3,unclear,links=5 inline=0 roles=4 paging=n iframes=0 text=8179
357,Boise State University,https://www.boisestate.edu/jobs/boise-state-faculty-careers/,3,looks-ok-now,links=9 inline=0 roles=0 paging=n iframes=0 text=5286
358,The College of Idaho,https://collegeofidaho.edu/academics/undergrad/career-sectors/health-scientific-research,3,unclear,links=6 inline=0 roles=1 paging=n iframes=0 text=16357
368,Blackburn College,https://blackburn.edu/jobs/,3,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=2209
369,University of Illinois Urbana-Champaign,https://humanresources.illinois.edu/job-seekers/?utm_source=illinois_homepage&utm_medium=referral&utm_campaign=footer,0,looks-ok-now,links=15 inline=0 roles=0 paging=n iframes=0 text=11144
370,Eastern Illinois University,https://apply.interfolio.com/190519,1,unclear,links=1 inline=0 roles=1 paging=n iframes=0 text=10655
373,DePaul University,https://ekze.fa.us2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_DIRECTORY,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=1598
375,Illinois Institute of Technology,https://www.iit.edu/hr/about/employment-verification,1,unclear,links=2 inline=0 roles=0 paging=n iframes=0 text=3874
377,National Louis University,https://nl.edu/employment/,1,unclear,links=4 inline=1 roles=2 paging=n iframes=0 text=4444
378,North Park University,https://apply.workable.com/north-park-university/,1,unclear,links=2 inline=0 roles=0 paging=n iframes=0 text=3874
385,Trinity International University-Illinois,https://www.tiu.edu/human-resources/,1,unclear,links=1 inline=0 roles=0 paging=n iframes=0 text=2582
386,Northern Illinois University,https://employment.niu.edu/,1,looks-ok-now,links=8 inline=0 roles=0 paging=n iframes=0 text=3112
387,Southern Illinois University-Edwardsville,https://apply.interfolio.com/69563/positions,1,inline-listing,links=1 inline=0 roles=13 paging=y iframes=0 text=5034
389,Elmhurst University,https://apply.workable.com/elmhurst-edu/,1,unclear,links=2 inline=0 roles=0 paging=n iframes=0 text=3853
391,Northwestern University,https://careers.northwestern.edu,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=12
392,Knox College,https://www.knox.edu/employment-at-knox/faculty,2,unclear,links=3 inline=0 roles=4 paging=n iframes=0 text=7292
399,Benedictine University,https://benu.csod.com/ux/ats/careersite/5/home?c=benu,0,unclear,links=2 inline=0 roles=0 paging=n iframes=0 text=485
400,Western Illinois University,https://sso.interviewexchange.com/wiu/sso.jsp,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=1725
401,Monmouth College,https://www.monmouthcollege.edu/offices/hr/employment-opportunities/,0,inline-listing,links=0 inline=12 roles=35 paging=n iframes=0 text=26290
402,North Central College,https://www.northcentralcollege.edu/academic-affairs/staff-openings,3,unclear,links=4 inline=0 roles=0 paging=n iframes=0 text=3743
403,Illinois State University,https://isu.dc4.pageuppeople.com/default.aspx,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=340
405,Bradley University,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=df6f93d4-2277-4999-ac63-88a55668ffd3&ccId=9200110706773_2&type=JS&lang=en_US,1,inline-listing,links=0 inline=0 roles=11 paging=n iframes=0 text=3259
406,Quincy University,https://www.quincy.edu/about/work-at-qu/job-openings/,1,inline-listing,links=2 inline=1 roles=9 paging=n iframes=0 text=22998
409,Augustana College,https://www.augustana.edu/about-us/offices/hr/employment/opportunities,2,unclear,links=3 inline=1 roles=1 paging=n iframes=0 text=3992
410,Rockford University,https://www.rockford.edu/community/humanresources/faculty/,2,unclear,links=2 inline=1 roles=4 paging=n iframes=0 text=4180
418,Indiana University-Bloomington,https://bloomington.iu.edu/academics/experiential-learning/research-opportunities/,2,unclear,links=4 inline=1 roles=1 paging=n iframes=0 text=11444
422,Indiana Institute of Technology,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=9B7DD7DDF4B46DE388E0D590C86BBE1D,0,blocked,links=10 inline=0 roles=2 paging=n iframes=0 text=3738 wall/challenge
423,Purdue University Fort Wayne,https://purdueuniversity.valhalla.stage.jobs2web.com/FW,3,unclear,links=5 inline=0 roles=0 paging=n iframes=0 text=1121
425,Franklin College,https://franklincollege.edu/about/key-offices/office-of-human-resources/employment-opportunities/,0,blocked,links=0 inline=0 roles=0 paging=n iframes=0 text=105 wall/challenge
427,Goshen College,https://www.goshen.edu/employment/director-of-human-resources/,0,wrong-url,links=0 inline=2 roles=2 paging=n iframes=0 text=11680
428,DePauw University,https://www.depauw.edu/offices/human-resources/employment/,2,unclear,links=2 inline=1 roles=1 paging=n iframes=0 text=4902
429,Hanover College,https://www.hanover.edu/about/employment/,0,unclear,links=4 inline=0 roles=0 paging=n iframes=0 text=4874
430,Huntington University,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=7353b4b0-47be-41c8-bcb3-dc2ae3843581&ccId=19000101_000001&lang=en_US,1,wrong-url,links=0 inline=0 roles=5 paging=n iframes=0 text=3436
431,Butler University,https://fa-exer-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,0,unclear,links=7 inline=0 roles=0 paging=n iframes=0 text=716
434,Marian University,https://marian.elluciancrmrecruit.com/Apply/Account/Create?f=a0ee650e-16a5-4b95-b901-c5b3f4d00dd4&o=a3e67df5-dead-4937-a82d-f42c212e56d1&IsInquiry=True,0,no-listing-found,links=0 inline=0 roles=0 paging=y iframes=0 text=11526
435,Martin University,https://www.martin.edu/jobreadyindy,2,unclear,links=4 inline=1 roles=3 paging=n iframes=0 text=4847
440,Ball State University,https://wd12.myworkday.com/bsu/d/task/2998$42366.htmld#backheader=true,0,blocked,links=0 inline=0 roles=0 paging=n iframes=0 text=674 wall/challenge
442,Manchester University,https://www.manchester.edu/employment-opportunities/,3,unclear,links=4 inline=0 roles=0 paging=n iframes=0 text=16708
443,Holy Cross College,https://www.hcc-nd.edu/career-opportunities/,2,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=5394
444,Saint Mary's College,https://www.saintmarys.edu/hr,2,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=3396
445,University of Notre Dame,https://jobs.smartrecruiters.com/my-applications/UniversityOfNotreDame?dcr_ci=UniversityOfNotreDame,0,no-listing-found,links=0 inline=0 roles=0 paging=n iframes=0 text=309
446,Oakland City University,https://www.oak.edu/academics/career-pathways-program/,1,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=2072
447,Earlham College,https://hr.earlham.edu/careers,0,wrong-url,links=0 inline=0 roles=1 paging=n iframes=0 text=4169
449,Saint Mary-of-the-Woods College,https://www.smwc.edu/offices-resources/offices/office-of-people-success-and-opportunity/employment-opportunities/,3,unclear,links=4 inline=0 roles=2 paging=n iframes=0 text=8703
452,Rose-Hulman Institute of Technology,https://rosehulman.csod.com/ux/ats/careersite/9/home?c=rosehulman,0,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=1286
454,Valparaiso University,https://apply.interfolio.com/16338/positions,1,unclear,links=1 inline=0 roles=0 paging=n iframes=0 text=3063
456,Calumet College of Saint Joseph,https://recruiting.paylocity.com/recruiting/jobs/All/d3b73b32-f518-47ab-82f7-ac57a8a45ce4/Calumet-College,1,unclear,links=1 inline=0 roles=2 paging=n iframes=0 text=11955
458,Benedictine College,https://recruiting.paylocity.com/recruiting/jobs/Details/3764624/Benedictine-College/AssistantAssociate-Professor-of-Psychology,3,blocked,links=3 inline=0 roles=7 paging=n iframes=0 text=4149 wall/challenge
459,Baker University,https://www.bakeru.edu/about-baker/careers-baker,2,unclear,links=3 inline=0 roles=3 paging=n iframes=0 text=50162
460,Emporia State University,https://hr.hornet365.com/open-positions,1,unclear,links=1 inline=0 roles=1 paging=n iframes=0 text=1959
461,Barclay College,https://www.barclaycollege.edu/jobs/,3,unclear,links=5 inline=0 roles=0 paging=n iframes=0 text=1085
